participant_id,trial_id,target_name,phase,timestamp,raw_x,raw_y,smooth_raw_x,smooth_raw_y,mapped_x,mapped_y,left_ear,right_ear,head_offset_x,head_pose_status,fps,valid_face,camera_index
P01,3,LEFT_BOTTOM,RECORD,1780240362.0336776,0.4568439865433137,0.6171875,0.4903262517611153,0.6090277777777778,627,438,0.10448088678440895,0.11175498861821684,0.2974683544303797,HEAD_RIGHT,31.458302394827832,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.0671449,0.4291702961672474,0.6157986111111111,0.47503726286264825,0.6107204861111111,608,439,0.07937366409128052,0.14062444611618094,0.31703470031545744,HEAD_RIGHT,29.879919072179636,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.1002622,0.4911066219944817,0.6151041666666667,0.478251134689015,0.6115972222222222,612,440,0.08655132588426283,0.1324796180424403,0.3,HEAD_RIGHT,30.19570350745839,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.1348364,0.5262595837897043,0.6163194444444444,0.48625254287246317,0.6123842592592593,622,440,0.15879477437922593,0.14526438952630702,0.3125,HEAD_RIGHT,28.9232424231976,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.1693802,0.5095207531022679,0.6147569444444444,0.48957657290529244,0.6127232142857143,626,441,0.12081031724813111,0.1849105981514743,0.30063291139240506,HEAD_RIGHT,28.948794577843422,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.2012532,0.5268987341772151,0.6151041666666667,0.49424184306428276,0.6130208333333333,632,441,0.12505983247251287,0.17046332646425788,0.3213166144200627,HEAD_RIGHT,31.374529677974344,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.2343874,0.5311167227833894,0.6123263888888889,0.49833905192196126,0.6129436728395061,637,441,0.17444973933324875,0.2474228159608555,0.3050314465408805,HEAD_RIGHT,30.18027702824249,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.267679,0.5478896103896104,0.6104166666666667,0.5032941077687262,0.6126909722222222,644,441,0.15819353067513187,0.2234045446701036,0.3056426332288401,HEAD_RIGHT,30.037626669531278,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.2991033,0.5597140454163162,0.6086805555555556,0.5080603687696879,0.6132465277777778,650,441,0.1473361271369782,0.27297445182704716,0.3056426332288401,HEAD_RIGHT,31.82252300782228,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.3359091,0.5356359649122807,0.6043402777777778,0.5114156319275827,0.6130034722222222,654,441,0.18570277144010083,0.3169551453930574,0.30495356037151705,HEAD_RIGHT,27.16958056680162,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.3666503,0.5336896929824562,0.6039930555555556,0.5191002025714969,0.6116840277777778,664,440,0.17597079859724413,0.23911616410263992,0.30757097791798105,HEAD_RIGHT,32.52961888659666,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.4023485,0.524772579597141,0.6024305555555556,0.5286604309144863,0.6103472222222222,676,439,0.17104304223795322,0.26941913914842996,0.3050314465408805,HEAD_RIGHT,28.012636162667217,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.43384,0.524941724941725,0.6019097222222223,0.5320439412092106,0.6090277777777777,681,438,0.17482700929966358,0.2893249467925934,0.2981366459627329,HEAD_RIGHT,31.754582276564335,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.467471,0.5422139830508474,0.6017361111111111,0.5336393811353248,0.6075694444444444,683,437,0.17331736931374353,0.23780606413195404,0.29256965944272445,HEAD_RIGHT,29.73460562321882,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.502028,0.5151400862068966,0.6017361111111111,0.5342013144457878,0.6062673611111111,683,436,0.156300469220149,0.257396591842446,0.31191222570532917,HEAD_RIGHT,28.937609957017585,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.5348918,0.5419719827586207,0.6006944444444444,0.5357086393039283,0.604826388888889,685,435,0.1700306665589607,0.2627436877259171,0.2739938080495356,HEAD_RIGHT,30.42856624661748,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.5666287,0.5115478569842327,0.6003472222222223,0.5337517527240128,0.6036284722222223,683,434,0.22375627458381994,0.2633282368282245,0.29874213836477986,HEAD_RIGHT,31.509112490046125,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.6026454,0.5196175950486295,0.5994791666666667,0.5309245511899146,0.6025347222222223,679,433,0.1772598548388744,0.2920619037191902,0.2839506172839506,HEAD_RIGHT,27.76489590573594,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.6347728,0.5349137931034482,0.6001736111111111,0.5284445259586278,0.6016840277777777,676,433,0.15090472569869848,0.2991817042071074,0.2981366459627329,HEAD_RIGHT,31.126098313939682,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.6690588,0.5249778956675508,0.6003472222222223,0.5273787190341548,0.6012847222222223,675,432,0.1747555582572599,0.30107582312468706,0.29439252336448596,HEAD_RIGHT,29.16640473971879,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.7005758,0.5146072796934866,0.5991319444444444,0.5254704777052578,0.6007986111111111,672,432,0.1543970374934694,0.28670872716825707,0.29375,HEAD_RIGHT,31.728879206003388,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.7336164,0.5238471971066908,0.6,0.5253779394562128,0.6005555555555555,672,432,0.22161342207320664,0.3219604581083923,0.2857142857142857,HEAD_RIGHT,30.265864253654875,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.766739,0.5095841455490578,0.5989583333333334,0.5238421815169462,0.6002604166666667,670,432,0.21480737597807006,0.29056973284472615,0.29439252336448596,HEAD_RIGHT,30.190921785698862,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.8011239,0.5520040304523064,0.6,0.524821186257092,0.6000868055555555,671,432,0.15452159010984495,0.2991817042071074,0.2981366459627329,HEAD_RIGHT,29.082477586481858,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.8368196,0.5298275862068965,0.6005208333333333,0.526289936257092,0.5999652777777778,673,431,0.1930452978230121,0.2857672868756995,0.284375,HEAD_RIGHT,28.01450717677783,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.8704667,0.5142020335985853,0.6010416666666667,0.5235129413410885,0.6,670,432,0.17149858514250885,0.2621070659579507,0.30877742946708464,HEAD_RIGHT,29.720278332837324,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.9016693,0.5138627819548872,0.6001736111111111,0.5237444338381539,0.5999826388888889,670,431,0.16142542211408062,0.3082548868319045,0.2861635220125786,HEAD_RIGHT,32.04865785914589,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.9338913,0.5127306903622693,0.6005208333333333,0.5230557433695179,0.6000868055555555,669,432,0.21152021408906427,0.2762725480441807,0.2875,HEAD_RIGHT,31.034665443325515,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.9663978,0.5104374861203642,0.6005208333333333,0.5206081126712095,0.6001215277777778,666,432,0.15557924372749346,0.30090736689020126,0.2850467289719626,HEAD_RIGHT,30.763110413518945,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.0042193,0.5152327826646642,0.6017361111111111,0.5196336013709209,0.6002604166666666,665,432,0.17550256140128118,0.2597609965378128,0.284375,HEAD_RIGHT,26.439965959592776,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.0360577,0.5069897483690587,0.5989583333333334,0.5188718482384781,0.6002430555555556,664,432,0.18391571563506212,0.287919364723722,0.29012345679012347,HEAD_RIGHT,31.40859667515351,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.0699375,0.5137408394403731,0.6,0.5178612124718462,0.6002430555555556,662,432,0.19196169917890998,0.31972043804742434,0.29375,HEAD_RIGHT,29.51615037086037,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.1004121,0.5174825174825175,0.5982638888888889,0.5186510496651923,0.6001736111111111,663,432,0.19189057010331695,0.32204967447544985,0.29256965944272445,HEAD_RIGHT,32.81414489125333,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.1361973,0.5151606867708562,0.5986111111111111,0.5149667152970473,0.6000347222222222,659,432,0.20592104667751743,0.2360087025065654,0.3050314465408805,HEAD_RIGHT,27.944514770743666,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.1668787,0.5151407682234832,0.6,0.5134980334987059,0.5999826388888889,657,431,0.1723444813876697,0.2373046519201252,0.3068535825545171,HEAD_RIGHT,32.593066898754344,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.2046387,0.5199637023593466,0.5986111111111111,0.514074200374782,0.5997395833333333,658,431,0.1791062095759973,0.24388074139060006,0.29127725856697817,HEAD_RIGHT,26.483037309710376,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.2360363,0.4771417269439421,0.6006944444444444,0.5104020948736875,0.5997916666666667,653,431,0.19213012024348824,0.2850212156322468,0.2981366459627329,HEAD_RIGHT,31.84958729146259,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.267414,0.5161458333333333,0.5993055555555555,0.5107436091707939,0.5996701388888889,653,431,0.1455919210715236,0.28863683606932494,0.2770897832817337,HEAD_RIGHT,31.8696735760744,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.302649,0.5322474136033458,0.5989583333333334,0.5129246019190921,0.5995138888888889,656,431,0.1658047997630665,0.30921907825385614,0.2894736842105263,HEAD_RIGHT,28.380929181383895,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.3340845,0.5301287695355492,0.6003472222222223,0.5144142006061806,0.599375,658,431,0.17660194830050815,0.2880070406778467,0.28637770897832815,HEAD_RIGHT,31.811179370496777,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240363.3680573,0.5205875680580763,0.5965277777777778,0.5157739825750823,0.5991319444444445,660,431,0.1935843414854953,0.33161194760851176,0.2857142857142857,HEAD_RIGHT,29.4353647924094,1,1
